stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name,dist,assignedName
Photocopier.jpg,0.030219718,0.595878649,-0.539001265,0.392331346,1,0,0.375,0.51754917,0.166666667,0.40824829,1,0,1,human-made,NA,larger than a shoebox,0.145797599,2.438986576,copy machine,0.333333333,1,0.255574614,0.08794710777811954,5_238.jpg
Toy_WoodenPlainSingle.jpg,0.010225151,0.516313681,-0.72316082,0.324516723,0.777777778,0.440958552,0,0,0.75,0.46291005,0,1,0,NA,indoors,NA,0.039451115,1.763297114,wooden block,0.441176471,1,0.487707261,0.09380220281111717,5_188.jpg
Flower_Crane.jpg,0.057880463,0.696622782,-0.054550766,0.994926531,0.111111111,0.333333333,0.625,0.51754917,0.833333333,0.40824829,1,0,1,natural,NA,smaller than a shoebox,0.531160663,0.731064443,flower,0.875,0,0.838765009,0.09857591480338801,5_249.jpg
OrangeBlood.jpg,0.10588064,0.85060103,0.957217361,0.869917082,0.125,0.353553391,0.125,0.353553391,1,0,1,1,1,natural,indoors,smaller than a shoebox,0.931961121,2.130124965,grapefruit,0.466666667,1,0.359062321,0.10585374688986238,5_47.jpg
Hand.jpg,-0.01229395,0.424155695,-0.385010348,0.566023535,0,0,0.125,0.353553391,0.75,0.46291005,1,1,0,natural,indoors,NA,0.273299028,0.793992434,hand,0.838709677,1,0.821040595,0.10874259721736146,5_239.jpg
Ball_Basketball.jpg,0.159387892,0.953062393,-0.038717595,0.956622669,1,0,0.714285714,0.487950036,0.125,0.353553391,1,0,1,human-made,NA,larger than a shoebox,0.54488279,0.309543429,basketball,0.944444444,1,0.966838193,0.1103970419034519,5_207.jpg
Chair_Dining.jpg,-0.041107129,0.319404694,-0.869595078,0.405095383,1,0,0.076923077,0.271746488,0.111111111,0.333333333,1,1,1,human-made,indoors,larger than a shoebox,0.011435106,0.522978426,chair,0.909090909,0,0.90051458,0.113026806598169,5_213.jpg
Toy_StackingRing.jpg,-0.075377302,0.216370922,-0.17988391,0.635351328,1,0,0.142857143,0.377964473,0.428571429,0.534522484,1,1,0,human-made,indoors,NA,0.441966838,2.88418372,toy,0.2,0,0.133790738,0.1172916896445575,5_61.jpg
Stool_Foot.jpg,-0.068303484,0.234115627,-0.11361994,0.47278914,1,0,0.04,0.2,0,0,1,1,1,human-made,indoors,larger than a shoebox,0.498570612,2.572623664,stool,0.363636364,0,0.212692967,0.11994319467658987,5_132.jpg
TestTube_MultipleAndRack.jpg,0.077434123,0.773325701,-0.568002908,0.480617616,1,0,0.142857143,0.377964473,0.142857143,0.377964473,1,1,1,human-made,indoors,larger than a shoebox,0.127501429,3.110578015,beakers,0.263157895,1,0.081761006,0.12236524558246598,5_168.jpg
Toy_Moose.jpg,-0.020616807,0.390955924,-0.307984286,0.524102836,1,0,0.625,0.51754917,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.333905089,3.419381946,moose,0.166666667,1,0.035448828,0.12636238604613714,5_123.jpg
Exercise_Bike.jpg,-0.078075299,0.204350315,0.122844179,0.996525931,1,0,0.142857143,0.377964473,0.166666667,0.40824829,1,1,1,human-made,indoors,larger than a shoebox,0.643796455,2.220068302,exercise bike,0.473684211,1,0.324757004,0.12937450803436157,5_48.jpg
Brace_Leg.jpg,0.058927407,0.701774471,0.234422191,0.833904246,1,0,0.25,0.46291005,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.71240709,1.240670532,knee brace,0.636363636,1,0.679817038,0.13273095191340056,5_8.jpg
Bucket_Champagne.jpg,-0.254297367,0.013737836,0.175469867,0.697999282,1,0,0.111111111,0.333333333,0.2,0.421637021,1,1,0,human-made,indoors,NA,0.676386507,3.162193745,ice bucket,0.27027027,0,0.076043453,0.1338239742192444,5_11.jpg
Flowers_DryBouquet.jpg,-0.012299908,0.423583286,0.253519206,0.96726762,0.9,0.316227766,0.428571429,0.534522484,0.5,0.527046277,1,0,0,human-made,NA,NA,0.730131504,1.418398882,bouquet,0.606060606,1,0.618639222,0.13490980963741306,5_243.jpg
MortarPestle_WhiteMarble.jpg,0.133292448,0.919862622,-0.04468377,0.602129317,1,0,0.142857143,0.377964473,0.857142857,0.377964473,1,1,1,human-made,indoors,smaller than a shoebox,0.535734706,3.684560814,mortar and pestle,0.208333333,0,0.014865638,0.13793485719132348,5_60.jpg
PenStand.jpg,-0.084693212,0.188322839,-0.368872135,0.568364415,1,0,0.142857143,0.377964473,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.285305889,2.242126373,pen holder,0.307692308,1,0.315608919,0.1431634803085733,5_205.jpg
Ship_Model.jpg,0.046047427,0.661133371,0.683440115,0.811745512,1,0,0.444444444,0.527046277,0.125,0.353553391,1,0,1,human-made,NA,larger than a shoebox,0.882218411,2.411849733,ship,0.451612903,0,0.264722699,0.14424828526644573,5_166.jpg
Dragonfly.jpg,-0.012472755,0.421293646,0.490376549,1.385192668,0.2,0.421637021,0.875,0.337831962,1,0,0,1,1,NA,outdoors,smaller than a shoebox,0.827329903,1.026313714,dragonfly,0.8,1,0.756432247,0.14648179229054348,5_116.jpg
LeafBlower.jpg,0.031511816,0.602747567,0.162296939,1.101724272,1,0,1,0,0.25,0.46291005,1,1,0,human-made,outdoors,NA,0.665523156,1.533206219,leaf blower,0.6,1,0.569468268,0.15197395249253587,5_46.jpg
Thermostat_Digital.jpg,0.007126081,0.503720664,-0.504040419,0.774958754,1,0,0.25,0.46291005,0.5,0.534522484,1,0,0,human-made,NA,NA,0.174957118,1.731360029,thermostat,0.647058824,0,0.497427101,0.15506901189460276,5_155.jpg
Hat_Party.jpg,-0.058592206,0.262163709,0.036873968,0.450132576,1,0,0,0,0.714285714,0.487950036,1,1,0,human-made,indoors,NA,0.595197256,2.203701696,party hat,0.4,1,0.333333333,0.15981513120900548,5_148.jpg
Flags_CheckeredRacing.jpg,0.070221023,0.744705209,0.076975609,1.029228343,1,0,1,0,0.375,0.51754917,1,1,0,human-made,outdoors,NA,0.620926244,2.216757477,flags,0.419354839,1,0.32761578,0.16009009638602523,5_146.jpg
Box_FirstAidOpen.jpg,0.082620022,0.787635947,-0.28529313,0.447168288,1,0,0.166666667,0.40824829,0.9,0.316227766,1,1,1,human-made,indoors,smaller than a shoebox,0.353916524,1.86382639,first aid kit,0.444444444,0,0.452830189,0.16327099703815517,5_141.jpg
Jug_Wicker.jpg,-0.128495277,0.107040641,-0.322093513,0.943846755,1,0,0,0,0.428571429,0.534522484,1,1,0,human-made,indoors,NA,0.323041738,2.586038815,bottle,0.416666667,0,0.208118925,0.16476186638895607,5_108.jpg
PumiceStone.jpg,0.167267386,0.96451059,-0.516066031,0.671712926,0.3,0.483045892,0.888888889,0.333333333,1,0,0,1,1,NA,outdoors,smaller than a shoebox,0.159519726,1.840974564,rock,0.642857143,0,0.456832476,0.1657612830448152,5_256.jpg
Toy_LambPlushie.jpg,-0.088787353,0.178019462,-0.110952857,1.125847197,1,0,0.125,0.353553391,0.857142857,0.377964473,1,1,1,human-made,indoors,smaller than a shoebox,0.500857633,2.139353872,sheep,0.4,0,0.354488279,0.17004282718297437,5_100.jpg
BicycleReflector.jpg,-0.04979401,0.287922152,0.361715604,0.982258063,1,0,0.75,0.46291005,0.75,0.46291005,1,0,0,human-made,NA,NA,0.784448256,2.996624142,bike light,0.277777778,1,0.104059463,0.1715385518011152,5_129.jpg
Bowl_Chopsticks.jpg,-0.076543162,0.211219233,-0.335064324,0.412352044,1,0,0.111111111,0.320256308,0.714285714,0.487950036,1,1,0,human-made,indoors,NA,0.313321898,1.04720248,chopsticks,0.814814815,0,0.751286449,0.17378545570722204,5_189.jpg
ProcessorFood_Modern.jpg,-0.231065661,0.021179164,0.141621892,0.814284996,1,0,0.125,0.353553391,0,0,1,1,1,human-made,indoors,larger than a shoebox,0.651801029,2.598726955,blender,0.387096774,1,0.204688393,0.1745120175373127,5_19.jpg
Nametag.jpg,0.028476319,0.590154551,-0.83071098,0.574745317,1,0,0.4,0.547722558,0.6,0.547722558,1,0,0,human-made,NA,NA,0.016580903,3.426209614,tag,0.222222222,0,0.033733562,0.1784654524502136,5_197.jpg
Mask_Gas.jpg,0.033767404,0.611906125,0.463495006,2.134451598,1,0,0.875,0.353553391,0.2,0.421637021,1,1,0,human-made,outdoors,NA,0.819897084,0.714653245,gas mask,0.878787879,1,0.84219554,0.18126388209998545,5_83.jpg
Stethoscope.jpg,0.001207132,0.48139668,-0.096638368,0.801246455,1,0,0.142857143,0.377964473,1,0,1,1,1,human-made,indoors,smaller than a shoebox,0.512864494,0.235193382,stethoscope,0.961538462,1,0.972555746,0.18550484464335493,5_164.jpg
Toy_BeadMaze.jpg,-0.048317486,0.29479107,-0.224205826,0.605626329,1,0,0.2,0.447213595,0.625,0.51754917,1,0,0,human-made,NA,NA,0.404802744,1.569974075,toy,0.733333333,0,0.55460263,0.18873582905450714,5_153.jpg
Steamroller.jpg,-0.14654156,0.079564969,-0.551985279,0.439168056,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.13950829,2.522740045,roller,0.333333333,1,0.228702115,0.19351912964963103,5_248.jpg
Boar.jpg,0.045563992,0.659416142,0.758559993,0.490677593,0,0,1,0,0,0,1,1,1,natural,outdoors,larger than a shoebox,0.902801601,3.015139005,boar,0.272727273,1,0.096626644,0.19569137234734657,5_39.jpg
Sink_Bathroom.jpg,-0.009825627,0.435603892,-0.745892136,0.373255394,1,0,0,0,0,0,1,1,1,human-made,indoors,larger than a shoebox,0.029731275,0.381580488,sink,0.941176471,0,0.931389365,0.19870175194787798,5_201.jpg
Bottle_Blue.jpg,0.085807495,0.798511734,0.056425567,0.940013149,1,0,0.217391304,0.421741168,0.6,0.516397779,1,0,0,human-made,NA,NA,0.604917095,2.130718798,water bottle,0.538461538,0,0.358490566,0.19939614486239954,5_85.jpg
